N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
""
106,휠라홀딩스,"47,400","1,600",+3.49%,"1,000","28,797","60,752",48.41,"364,975",15.98,23.81,
107,DB손해보험,"40,450",450,+1.13%,500,"28,639","70,800",40.87,"124,784",5.15,6.92,
108,현대위아,"105,000","1,000",-0.94%,"5,000","28,555","27,195",11.02,"699,485",22.69,1.80,
109,GS리테일,"36,400",600,+1.68%,"1,000","28,028","77,000",14.76,"231,332",16.59,6.25,
110,팬오션,"5,240",120,+2.34%,"1,000","28,011","534,570",11.62,"2,274,509",20.71,5.49,
""
""
""
111,BGF리테일,"157,500","5,500",+3.62%,"1,000","27,222","17,284",31.66,"60,700",20.81,26.46,
112,삼성엔지니어링,"13,500",150,+1.12%,"5,000","26,460","196,000",24.62,"785,034",10.36,24.62,
113,대우건설,"6,350",80,+1.28%,"5,000","26,392","415,623",8.04,"6,075,590",13.71,8.80,
114,한화,"34,800",300,+0.87%,"5,000","26,086","74,959",19.84,"655,397",14.18,2.09,
115,한화생명,"2,980",75,+2.58%,"5,000","25,882","868,530",7.33,"4,866,865",11.33,0.51,
""
""
""
116,OCI,"106,500","1,000",-0.93%,"5,000","25,400","23,849",20.14,"161,063",-3.44,-26.20,
117,DL이앤씨,"129,500","3,500",-2.63%,"5,000","25,070","19,359",31.95,"2,475,601",N/A,N/A,
118,신세계,"254,000","3,000",+1.20%,"5,000","25,007","9,845",24.94,"70,557",-8.16,14.24,
119,하이트진로,"34,700",150,-0.43%,"5,000","24,336","70,134",8.68,"351,578",32.80,-3.86,
120,메리츠증권,"3,580",40,+1.13%,"1,000","24,199","675,962",13.38,"1,323,091",4.48,15.06,
""
""
""
121,종근당,"211,000","1,500",-0.71%,"2,500","24,109","11,426",13.27,"106,030",25.03,11.94,
122,LS,"74,000","1,500",-1.99%,"5,000","23,828","32,200",13.93,"159,928","-1,027.78",0.80,
123,한솔케미칼,"210,000","10,000",+5.00%,"5,000","23,720","11,295",40.19,"77,695",20.21,20.88,
124,한샘,"100,500",700,+0.70%,"1,000","23,652","23,534",23.15,"39,219",35.29,7.32,
125,현대로템,"21,400",50,+0.23%,"5,000","23,356","109,142",4.40,"785,251",-12.15,-37.93,
""
""
""
126,제일기획,"20,300",250,+1.25%,200,"23,353","115,041",32.80,"399,149",17.20,15.09,
127,녹십자홀딩스,"48,400","1,900",+4.09%,500,"22,762","47,028",7.32,"1,440,420",45.75,0.37,
128,한화에어로스페이스,"42,900","3,000",+7.52%,"5,000","21,720","50,630",18.59,"1,418,211",30.08,5.45,
129,오뚜기,"583,000","14,000",+2.46%,"5,000","21,408","3,672",16.37,"10,547",19.70,7.79,
130,LS ELECTRIC,"69,400",500,-0.72%,"5,000","20,820","30,000",14.47,"137,588",26.74,7.82,
""
""
""
131,한화시스템,"18,450",200,+1.10%,"5,000","20,338","110,230",7.60,"1,156,368",26.13,8.15,
132,HDC현대산업개발,"30,850",650,-2.06%,"5,000","20,332","65,907",10.78,"1,010,904",7.66,20.30,
133,포스코인터내셔널,"16,350",150,+0.93%,"5,000","20,172","123,375",11.34,"1,180,049",9.02,7.06,
134,현대백화점,"84,300","1,200",+1.44%,"5,000","19,728","23,402",14.90,"195,595",17.27,4.64,
135,KCC,"221,000","6,000",+2.79%,"5,000","19,639","8,886",11.81,"44,735",-701.59,-4.37,
""
""
""
136,KODEX 200선물인버스2X,"1,980",75,-3.65%,0,"19,584","989,100",1.66,"230,687,041",N/A,N/A,
137,현대미포조선,"48,450",550,+1.15%,"5,000","19,352","39,942",13.06,"206,347",41.70,2.31,
138,대웅제약,"164,500","6,500",+4.11%,"2,500","19,060","11,587",5.20,"274,577","-1,150.35",4.34,
139,메리츠화재,"15,700",500,+3.29%,500,"18,938","120,625",10.30,"641,833",4.60,12.80,
140,현대해상,"20,650",300,-1.43%,500,"18,461","89,400",36.75,"479,295",5.07,6.23,
""
""
""
141,BNK금융지주,"5,640",30,+0.53%,"5,000","18,383","325,935",38.18,"839,037",3.83,7.07,
142,한올바이오파마,"35,050",950,+2.79%,500,"18,310","52,241",7.26,"211,540",92.97,14.90,
143,현대엘리베이,"44,750",550,-1.21%,"5,000","18,265","40,815",25.94,"291,769",20.04,5.22,
144,KODEX 레버리지,"29,175","1,065",+3.79%,0,"18,264","62,600",2.42,"22,482,828",N/A,N/A,
145,두산인프라코어,"8,390",70,+0.84%,"5,000","18,117","215,932",5.94,"1,333,042",10.83,11.59,
""
""
""
146,농심,"297,000","6,500",+2.24%,"5,000","18,065","6,083",17.78,"50,849",13.32,3.72,
147,명신산업,"43,800",100,+0.23%,500,"17,861","40,779",1.44,"403,541",N/A,53.84,
148,대한유화,"274,500","1,000",+0.37%,"5,000","17,842","6,500",19.70,"47,132",20.09,6.11,
149,아이에스동서,"57,700","1,200",-2.04%,500,"17,825","30,893",5.56,"104,918",13.91,6.10,
150,KODEX 단기채권,"102,665",5,0.00%,0,"17,724","17,264",0.00,"8,942",N/A,N/A,
""
""
""
""
151,KODEX 삼성그룹,"10,975",125,+1.15%,0,"17,461","159,100",0.03,"360,628",N/A,N/A,
152,솔루스첨단소재,"56,200","2,300",+4.27%,100,"17,191","30,590",9.82,"1,609,505",162.43,N/A,
153,KODEX 200TR,"14,165",265,+1.91%,0,"16,892","119,250",0.03,"161,609",N/A,N/A,
154,KODEX MSCI Korea TR,"14,210",190,+1.36%,0,"16,540","116,400",11.01,"333,761",N/A,N/A,
155,F&F,"106,500",500,+0.47%,500,"16,401","15,400",10.16,"156,283",18.83,25.13,
""
""
""
156,효성,"76,900",100,-0.13%,"5,000","16,204","21,071",6.85,"76,204",-36.05,4.25,
157,세방전지,"114,500","9,000",+8.53%,500,"16,030","14,000",26.36,"293,112",21.69,7.70,
158,LG생활건강우,"748,000","39,000",+5.50%,"5,000","15,706","2,100",84.21,"23,339",16.76,N/A,
159,영원무역,"35,350","1,050",+3.06%,500,"15,664","44,311",23.73,"154,388",9.56,9.82,
160,롯데정밀화학,"60,600",100,-0.16%,"5,000","15,635","25,800",22.97,"174,672",9.14,11.73,
""
""
""
161,부광약품,"24,100",550,+2.34%,500,"15,626","64,838",4.98,"343,348","12,050.00",-2.00,
162,한국앤컴퍼니,"16,750",650,+4.04%,500,"15,581","93,020",7.46,"380,255",13.98,4.71,
163,TIGER MSCI Korea TR,"17,865",270,+1.53%,0,"15,560","87,100",0.01,"111,978",N/A,N/A,
164,지누스,"107,000","1,500",+1.42%,500,"15,415","14,407",22.87,"34,188",21.59,26.32,
165,LG전자우,"89,000","2,000",+2.30%,"5,000","15,296","17,186",37.97,"1,136,634",19.33,N/A,
""
""
""
166,KODEX 종합채권(AA-이상)액티브,"109,865",105,-0.10%,0,"15,005","13,658",0.00,"2,498",N/A,N/A,
167,NHN,"73,300",500,+0.69%,500,"14,341","19,565",11.70,"67,425",48.83,0.78,
